customer_id,age,income,is_business,home_city
CU00001,19,37860.0,0,CHI
CU00002,59,38896.0,0,MIA
CU00003,68,49005.0,0,CHI
CU00004,58,61646.0,1,LAX
CU00005,30,88836.0,0,MIA
CU00006,30,45986.0,0,MIA
CU00007,35,42923.0,0,CHI
CU00008,58,55762.0,0,LAX
CU00009,54,60871.0,0,LAX
CU00010,38,71358.0,0,CHI
CU00011,28,41491.0,1,CHI
CU00012,35,101937.0,0,BOS
CU00013,56,58762.0,1,LAX
CU00014,51,27493.0,0,LAX
CU00015,24,94552.0,0,NYC
CU00016,65,25000.0,0,CHI
CU00017,55,67474.0,0,MIA
CU00018,47,68956.0,1,MIA
CU00019,64,91484.0,1,NYC
CU00020,35,58604.0,0,CHI
CU00021,53,43623.0,0,CHI
CU00022,60,62465.0,1,CHI
CU00023,20,71020.0,0,NYC
CU00024,38,31546.0,1,MIA
CU00025,61,67049.0,0,LAX
CU00026,47,66248.0,0,MIA
CU00027,35,31103.0,0,MIA
CU00028,47,27026.0,0,NYC
CU00029,32,80743.0,1,MIA
CU00030,22,60852.0,0,BOS
CU00031,61,25000.0,0,BOS
CU00032,36,48905.0,0,BOS
CU00033,46,50363.0,0,MIA
CU00034,66,56708.0,0,LAX
CU00035,32,63498.0,0,NYC
CU00036,69,59894.0,0,MIA
CU00037,62,64887.0,0,CHI
CU00038,39,95056.0,0,CHI
CU00039,34,76990.0,0,BOS
CU00040,45,46720.0,1,CHI
CU00041,32,73600.0,0,MIA
CU00042,22,63436.0,0,LAX
CU00043,32,37989.0,0,LAX
CU00044,54,77460.0,0,BOS
CU00045,61,66225.0,0,BOS
CU00046,63,70285.0,0,LAX
CU00047,54,81135.0,1,NYC
CU00048,32,46732.0,1,LAX
CU00049,52,55474.0,1,CHI
CU00050,49,30487.0,0,MIA
CU00051,50,77997.0,0,NYC
CU00052,50,78873.0,0,NYC
CU00053,64,55014.0,0,LAX
CU00054,51,90638.0,0,CHI
CU00055,36,85962.0,0,LAX
CU00056,57,72423.0,0,MIA
CU00057,56,54562.0,1,CHI
CU00058,22,61315.0,0,BOS
CU00059,52,76619.0,1,NYC
CU00060,66,59707.0,0,CHI
CU00061,35,78038.0,0,LAX
CU00062,35,51455.0,1,LAX
CU00063,32,65223.0,0,LAX
CU00064,68,51614.0,0,BOS
CU00065,26,87339.0,0,CHI
CU00066,25,59009.0,1,NYC
CU00067,23,115505.0,0,BOS
CU00068,63,66555.0,0,LAX
CU00069,55,58046.0,0,BOS
CU00070,19,63730.0,0,MIA
CU00071,48,99195.0,0,LAX
CU00072,40,46394.0,0,LAX
CU00073,54,84933.0,0,BOS
CU00074,23,43468.0,0,NYC
CU00075,42,79238.0,0,CHI
CU00076,47,97046.0,1,LAX
CU00077,56,82331.0,1,LAX
CU00078,31,65550.0,0,LAX
CU00079,48,25000.0,0,NYC
CU00080,18,51025.0,0,CHI
CU00081,35,87690.0,0,NYC
CU00082,51,49122.0,0,LAX
CU00083,27,47602.0,1,NYC
CU00084,36,80478.0,1,NYC
CU00085,68,68631.0,0,BOS
CU00086,24,25000.0,1,CHI
CU00087,33,65465.0,0,BOS
CU00088,22,46011.0,0,BOS
CU00089,48,63840.0,1,CHI
CU00090,18,72545.0,0,MIA
CU00091,69,36649.0,1,CHI
CU00092,60,67785.0,0,NYC
CU00093,18,55263.0,1,BOS
CU00094,46,88142.0,0,NYC
CU00095,43,57884.0,0,BOS
